ID de comentario,ID de canal,Marca de tiempo de creación del comentario,Precio,ID de comentario principal,ID de publicación,ID de vídeo,Texto del comentario,ID de comentario de nivel superior
UgwXqrdvf4RqsItq3Ld4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2019-12-16T09:11:29.294769+00:00,0,,,gBH_gGfaGlk,"{""text"":""ALEXA I’VE SEEN U FOR A WHILE AND I WANNA CONGRATULATE U FOR BECOMING ADDICTED TO LINGERINE AS OUTER WEAR""}",
UgwPoWLXDu39x2beVQ14AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2019-12-10T07:32:16.607919+00:00,0,,,mE1MilzpJPg,"{""text"":""Alto cierre❤️""}",
UgylSc1HsYcw7ATLGoB4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2019-12-02T07:21:21.768086+00:00,0,,,sOGTotaTPbE,"{""text"":""I actually love knowing exactly what you´re talking about when I saw those jeans with golden stuff on the front,  I was like SAMEEEE, haha kinda crazy  cause we live in two really different countries hahaha!! Sending luv from Argentina \u003c3""}",
Ugz47vsb5O4n9jsiRb94AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2019-10-21T07:38:05.346498+00:00,0,,,IqUV77LbnM0,"{""text"":""The Frozen sweatshirt you’re the best serial thrifter  I’ve known. Kisses from Argentina 🥰""}",
UgzKuuVqmXHNsLcdk6h4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2019-09-06T03:37:54.326186+00:00,0,,,BZNtxpO9DoA,"{""text"":""Pide que mate por tí Wos""}",
UgwnejZpdi7tG4oy5r54AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2019-01-02T06:51:29.418801+00:00,0,,,SKFSy4c2X4Y,"{""text"":""yo no puedo creer que te hayas fumado tda esta porquería x nosotres t kiero jorge""}",
UgwBBUEYCitQKlypNp94AaABAg.8pOcgpsblOh8pQIAMb7M89,UCrPbFn1WLEtkQE8eAuDzVVA,2018-12-28T23:40:10.807114+00:00,0,UgwBBUEYCitQKlypNp94AaABAg.8pOcgpsblOh8pP7AaOW2_A,,uXMJ5pBcSkk,"{""text"":""@Metamorcine"",""mention"":{""externalChannelId"":""UCM8cPaY44A_UOHBeoj35f9A""}},{""text"":"" Totalmente! aparte de la cantidad de guiños a la cultura pop argentina y la fusión Ortega- Almodóvar para ese erotismo mágico, casi hipnótico""}",UgwBBUEYCitQKlypNp94AaABAg
UgwBBUEYCitQKlypNp94AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2018-12-28T08:09:46.481958+00:00,0,,,uXMJ5pBcSkk,"{""text"":""t amo metamorcine aguante el Angel""}",
UgzbREC4gYOVyf3iSAJ4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2018-08-14T02:04:46.973408+00:00,0,,,OD0Goxrq9aE,"{""text"":""cosas que no sabía que necesitaba pero sí---\u003etravolta bailando con rodrigo de fondo""}",
UgxRaDYgcikjf_6KFIV4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2018-06-15T00:28:37.40748+00:00,0,,,wFVtvd4rHOI,"{""text"":""Te amo hermosa me hiciste emocionar💕lo mejor para vos""}",
UgztBaI_fXeRSbIUaHB4AaABAg.8glaLBMKPY78goiVAvFkAI,UCrPbFn1WLEtkQE8eAuDzVVA,2018-05-29T03:57:25.134983+00:00,0,UgztBaI_fXeRSbIUaHB4AaABAg,,z2BPuc1G2FY,"{""text"":""SEGURO ES CORDOBÉS""}",UgztBaI_fXeRSbIUaHB4AaABAg
UgzAtBlxgWqk4V5HnyV4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2018-05-29T03:56:32.309682+00:00,0,,,z2BPuc1G2FY,"{""text"":""te amo faraona traenos a la xica transsss""}",
