ID del canal,URL del canal,Título del canal
UCfLTaP7dww1M8Vr5DKzzRZA,http://www.youtube.com/channel/UCfLTaP7dww1M8Vr5DKzzRZA,Gaspi
UCfXYVSIQSueP2V9dHROc2Lg,http://www.youtube.com/channel/UCfXYVSIQSueP2V9dHROc2Lg,Roxy Poppins
UCfaAMIFHxBL0bwYJg8uxhXQ,http://www.youtube.com/channel/UCfaAMIFHxBL0bwYJg8uxhXQ,BUENOS DÍAS con Dani días
UCfc3IAlZqBdwM0mCcNZkANA,http://www.youtube.com/channel/UCfc3IAlZqBdwM0mCcNZkANA,Bel bozzolo
UCgIlmfJhLLBwTYvL4r-2hhg,http://www.youtube.com/channel/UCgIlmfJhLLBwTYvL4r-2hhg,Lie Likes Music
UCgKMMRyOlNYqh86iq4D8BYg,http://www.youtube.com/channel/UCgKMMRyOlNYqh86iq4D8BYg,Charlo Tadas
UCgOfiuubHnhVrc9IEcSk1Nw,http://www.youtube.com/channel/UCgOfiuubHnhVrc9IEcSk1Nw,MassageASMR
UCgUd51e6As0wbZGfwBM4kDg,http://www.youtube.com/channel/UCgUd51e6As0wbZGfwBM4kDg,Pauli Tb
UCgeJ2J9pBmuTyNHCwHh1WvA,http://www.youtube.com/channel/UCgeJ2J9pBmuTyNHCwHh1WvA,Palacio Libertad
UCgkSA2VEBJcCnETkLEokxuw,http://www.youtube.com/channel/UCgkSA2VEBJcCnETkLEokxuw,Bidinost - Topic
UCgn6r0aGRBnEQm02tE_jzbw,http://www.youtube.com/channel/UCgn6r0aGRBnEQm02tE_jzbw,Futurock FM
UCgyqXAXNnNzxj8f76R5iAFQ,http://www.youtube.com/channel/UCgyqXAXNnNzxj8f76R5iAFQ,Jimena Agra
